node_id,lon,lat,x,y,component_id,node_min_incident_cell_level,node_max_incident_cell_level,fes_any_finite,fes_valid_sample_count,fes_total_sample_count,fes_valid_fraction,fes_all_invalid,mdt_finite,mdt_value,delta_n_finite,delta_n_value,egm_undulation_finite,egm_value,datum_offset_finite,datum_offset_m,failure_class
0,120.99992466740512,31.718611079673398,120.99992466740512,31.718611079673398,0,0,0,False,0,1,0.0,True,False,,True,0.3892478048801422,True,9.341151237487793,False,,A_FES_INVALID
1,121.04206724066441,31.718611079673398,121.04206724066441,31.718611079673398,0,0,0,False,0,1,0.0,True,False,,True,0.32547011971473694,True,9.551050186157227,False,,A_FES_INVALID
2,120.99992466740512,31.75454352667304,120.99992466740512,31.75454352667304,0,0,0,False,0,1,0.0,True,False,,True,0.36319372057914734,True,9.344828605651855,False,,A_FES_INVALID
3,121.04206724066441,31.75454352667304,121.04206724066441,31.75454352667304,0,0,0,True,1,1,1.0,False,False,,True,0.3146553337574005,True,9.539268493652344,False,,B_FES_VALID_MDT_INVALID
4,121.02099595403476,31.73657730317322,121.02099595403476,31.73657730317322,0,-1,-1,False,0,1,0.0,True,False,,True,0.34814172983169556,True,9.443731307983398,False,,A_FES_INVALID
5,120.99992466740512,31.79047597367268,120.99992466740512,31.79047597367268,0,0,0,True,1,1,1.0,False,False,,True,0.33525383472442627,True,9.354215621948242,False,,B_FES_VALID_MDT_INVALID
6,121.04206724066441,31.79047597367268,121.04206724066441,31.79047597367268,0,0,0,True,1,1,1.0,False,False,,True,0.3025628328323364,True,9.531601905822754,False,,B_FES_VALID_MDT_INVALID
7,121.02099595403476,31.77250975017286,121.02099595403476,31.77250975017286,0,-1,-1,True,1,1,1.0,False,False,,True,0.3297072947025299,True,9.4425048828125,False,,B_FES_VALID_MDT_INVALID
8,120.99992466740512,31.826408420672323,120.99992466740512,31.826408420672323,0,0,0,False,0,1,0.0,True,False,,True,0.304821252822876,True,9.360692024230957,False,,A_FES_INVALID
9,121.04206724066441,31.826408420672323,121.04206724066441,31.826408420672323,0,0,0,False,0,1,0.0,True,False,,True,0.28878146409988403,True,9.521430015563965,False,,A_FES_INVALID
10,121.02099595403476,31.808442197172504,121.02099595403476,31.808442197172504,0,-1,-1,False,0,1,0.0,True,False,,True,0.3078548312187195,True,9.442068099975586,False,,A_FES_INVALID
11,121.08420981392369,31.718611079673398,121.08420981392369,31.718611079673398,0,0,0,False,0,1,0.0,True,False,,True,0.2647160291671753,True,9.75759220123291,False,,A_FES_INVALID
12,121.08420981392369,31.75454352667304,121.08420981392369,31.75454352667304,0,0,0,True,1,1,1.0,False,False,,True,0.2691446542739868,True,9.728619575500488,False,,B_FES_VALID_MDT_INVALID
13,121.06313852729406,31.73657730317322,121.06313852729406,31.73657730317322,0,-1,-1,True,1,1,1.0,False,False,,True,0.2919836938381195,True,9.64403247833252,False,,B_FES_VALID_MDT_INVALID
14,121.08420981392369,31.79047597367268,121.08420981392369,31.79047597367268,0,0,0,True,1,1,1.0,False,False,,True,0.2726253867149353,True,9.701835632324219,False,,B_FES_VALID_MDT_INVALID
15,121.06313852729406,31.77250975017286,121.06313852729406,31.77250975017286,0,-1,-1,True,1,1,1.0,False,False,,True,0.2887885272502899,True,9.625448226928711,False,,B_FES_VALID_MDT_INVALID
16,121.08420981392369,31.826408420672323,121.08420981392369,31.826408420672323,0,0,0,False,0,1,0.0,True,False,,True,0.2748531103134155,True,9.674152374267578,False,,A_FES_INVALID
17,121.06313852729406,31.808442197172504,121.06313852729406,31.808442197172504,0,-1,-1,False,0,1,0.0,True,False,,True,0.283489465713501,True,9.60738468170166,False,,A_FES_INVALID
18,121.08420981392369,31.682678632673756,121.08420981392369,31.682678632673756,0,0,0,False,0,1,0.0,True,False,,True,0.2572329342365265,True,9.792780876159668,False,,A_FES_INVALID
19,121.12635238718298,31.682678632673756,121.12635238718298,31.682678632673756,0,0,0,False,0,1,0.0,True,False,,True,0.1890443116426468,True,9.998998641967773,False,,A_FES_INVALID
20,121.12635238718298,31.718611079673398,121.12635238718298,31.718611079673398,0,0,0,True,1,1,1.0,False,False,,True,0.2099054455757141,True,9.951203346252441,False,,B_FES_VALID_MDT_INVALID
21,121.10528110055333,31.700644856173575,121.10528110055333,31.700644856173575,0,-1,-1,False,0,1,0.0,True,False,,True,0.231283500790596,True,9.874518394470215,False,,A_FES_INVALID
22,121.12635238718298,31.75454352667304,121.12635238718298,31.75454352667304,0,0,0,True,1,1,1.0,False,False,,True,0.22958576679229736,True,9.90601634979248,False,,B_FES_VALID_MDT_INVALID
23,121.10528110055333,31.73657730317322,121.10528110055333,31.73657730317322,0,-1,-1,True,1,1,1.0,False,False,,True,0.2433379739522934,True,9.835951805114746,False,,B_FES_VALID_MDT_INVALID
24,121.12635238718298,31.79047597367268,121.12635238718298,31.79047597367268,0,0,0,True,1,1,1.0,False,False,,True,0.24810069799423218,True,9.861406326293945,False,,B_FES_VALID_MDT_INVALID
25,121.10528110055333,31.77250975017286,121.10528110055333,31.77250975017286,0,-1,-1,True,1,1,1.0,False,False,,True,0.255392462015152,True,9.799627304077148,False,,B_FES_VALID_MDT_INVALID
26,121.12635238718298,31.826408420672323,121.12635238718298,31.826408420672323,0,0,0,False,0,1,0.0,True,False,,True,0.2650751769542694,True,9.818136215209961,False,,A_FES_INVALID
27,121.10528110055333,31.808442197172504,121.10528110055333,31.808442197172504,0,-1,-1,False,0,1,0.0,True,False,,True,0.2651636004447937,True,9.763998031616211,False,,A_FES_INVALID
28,121.12635238718298,31.646746185674115,121.12635238718298,31.646746185674115,0,0,0,False,0,1,0.0,True,False,,True,0.1635686606168747,True,10.049574851989746,False,,A_FES_INVALID
29,121.16849496044226,31.646746185674115,121.16849496044226,31.646746185674115,0,0,0,False,0,1,0.0,True,False,,True,0.09501873701810837,True,10.250632286071777,False,,A_FES_INVALID
30,121.16849496044226,31.682678632673756,121.16849496044226,31.682678632673756,0,0,0,True,1,1,1.0,False,False,,True,0.12668836116790771,True,10.191405296325684,False,,B_FES_VALID_MDT_INVALID
31,121.14742367381263,31.664712409173937,121.14742367381263,31.664712409173937,0,-1,-1,False,0,1,0.0,True,False,,True,0.1406981348991394,True,10.122590065002441,False,,A_FES_INVALID
32,121.16849496044226,31.718611079673398,121.16849496044226,31.718611079673398,95,0,0,True,1,1,1.0,False,False,,True,0.1601119190454483,True,10.131847381591797,False,,B_FES_VALID_MDT_INVALID
33,121.14742367381263,31.700644856173575,121.14742367381263,31.700644856173575,0,-1,-1,True,1,1,1.0,False,False,,True,0.16884709894657135,True,10.068289756774902,False,,B_FES_VALID_MDT_INVALID
34,121.16849496044226,31.75454352667304,121.16849496044226,31.75454352667304,0,0,0,True,1,1,1.0,False,False,,True,0.1939842849969864,True,10.072419166564941,False,,B_FES_VALID_MDT_INVALID
35,121.14742367381263,31.73657730317322,121.14742367381263,31.73657730317322,95,-1,-1,True,1,1,1.0,False,False,,True,0.19615323841571808,True,10.015538215637207,False,,B_FES_VALID_MDT_INVALID
