node_id,lon,lat,geom_type,finite_count,is_local_interp_candidate
3,121.04206724066441,31.75454352667304,TYPE_1,1,False
5,120.99992466740512,31.79047597367268,TYPE_1,1,False
6,121.04206724066441,31.79047597367268,TYPE_1,1,False
7,121.02099595403476,31.77250975017286,TYPE_1,1,False
12,121.08420981392369,31.75454352667304,TYPE_1,1,False
13,121.06313852729406,31.73657730317322,TYPE_1,1,False
14,121.08420981392369,31.79047597367268,TYPE_1,1,False
15,121.06313852729406,31.77250975017286,TYPE_1,1,False
20,121.12635238718298,31.718611079673398,TYPE_1,1,False
22,121.12635238718298,31.75454352667304,TYPE_1,1,False
23,121.10528110055333,31.73657730317322,TYPE_1,1,False
24,121.12635238718298,31.79047597367268,TYPE_1,1,False
25,121.10528110055333,31.77250975017286,TYPE_1,1,False
30,121.16849496044226,31.682678632673756,TYPE_1,1,False
32,121.16849496044226,31.718611079673398,TYPE_1,1,False
33,121.14742367381263,31.700644856173575,TYPE_1,1,False
34,121.16849496044226,31.75454352667304,TYPE_1,1,False
35,121.14742367381263,31.73657730317322,TYPE_1,1,False
37,121.14742367381263,31.77250975017286,TYPE_1,1,False
38,121.16849496044226,31.826408420672323,TYPE_0,0,False
39,121.14742367381263,31.808442197172504,TYPE_1,1,False
43,121.21063753370154,31.646746185674115,TYPE_3_OUTSIDE,3,False
44,121.21063753370154,31.682678632673756,TYPE_3_INSIDE,3,True
45,121.1895662470719,31.664712409173937,TYPE_3_OUTSIDE,3,False
46,121.21063753370154,31.718611079673398,TYPE_2_OUTSIDE,2,False
47,121.1895662470719,31.700644856173575,TYPE_2_OUTSIDE,2,False
49,121.1895662470719,31.73657730317322,TYPE_2_OUTSIDE,2,False
55,121.1895662470719,31.84437464417214,TYPE_0,0,False
59,121.25278010696083,31.610813738674473,TYPE_3_OUTSIDE,3,False
61,121.25278010696083,31.646746185674115,TYPE_3_INSIDE,3,True
62,121.23170882033119,31.628779962174292,TYPE_3_OUTSIDE,3,False
63,121.25278010696083,31.682678632673756,TYPE_3_INSIDE,3,True
65,121.23170882033119,31.700644856173575,TYPE_2_OUTSIDE,2,False
69,121.25278010696083,31.862340867671964,TYPE_0,0,False
70,121.23170882033119,31.84437464417214,TYPE_0,0,False
77,121.29492268022011,31.53894884467519,TYPE_1,1,False
79,121.29492268022011,31.57488129167483,TYPE_3_OUTSIDE,3,False
81,121.29492268022011,31.610813738674473,TYPE_3_INSIDE,3,True
82,121.27385139359046,31.592847515174654,TYPE_3_OUTSIDE,3,False
83,121.29492268022011,31.646746185674115,TYPE_3_INSIDE,3,True
84,121.27385139359046,31.628779962174292,TYPE_3_INSIDE,3,True
86,121.27385139359046,31.664712409173937,TYPE_3_INSIDE,3,True
92,121.29492268022011,31.862340867671964,TYPE_0,0,False
96,121.3370652534794,31.503016397675548,TYPE_2_OUTSIDE,2,False
97,121.3370652534794,31.53894884467519,TYPE_2_OUTSIDE,2,False
98,121.31599396684976,31.52098262117537,TYPE_2_OUTSIDE,2,False
99,121.3370652534794,31.57488129167483,TYPE_3_INSIDE,3,True
100,121.31599396684976,31.55691506817501,TYPE_2_OUTSIDE,2,False
101,121.3370652534794,31.610813738674473,TYPE_3_INSIDE,3,True
102,121.31599396684976,31.592847515174654,TYPE_3_INSIDE,3,True
104,121.31599396684976,31.628779962174292,TYPE_3_INSIDE,3,True
110,121.3370652534794,31.862340867671964,TYPE_0,0,False
116,121.37920782673868,31.503016397675548,TYPE_2_OUTSIDE,2,False
118,121.37920782673868,31.53894884467519,TYPE_2_OUTSIDE,2,False
119,121.35813654010903,31.52098262117537,TYPE_2_OUTSIDE,2,False
120,121.37920782673868,31.57488129167483,TYPE_3_INSIDE,3,True
121,121.35813654010903,31.55691506817501,TYPE_2_OUTSIDE,2,False
122,121.37920782673868,31.610813738674473,TYPE_3_INSIDE,3,True
123,121.35813654010903,31.592847515174654,TYPE_3_INSIDE,3,True
125,121.35813654010903,31.628779962174292,TYPE_3_INSIDE,3,True
130,121.35813654010903,31.84437464417214,TYPE_0,0,False
135,121.42135039999796,31.467083950675907,TYPE_2_OUTSIDE,2,False
137,121.42135039999796,31.503016397675548,TYPE_2_OUTSIDE,2,False
138,121.40027911336833,31.485050174175726,TYPE_2_OUTSIDE,2,False
139,121.42135039999796,31.53894884467519,TYPE_2_OUTSIDE,2,False
140,121.40027911336833,31.52098262117537,TYPE_2_OUTSIDE,2,False
141,121.42135039999796,31.57488129167483,TYPE_3_INSIDE,3,True
142,121.40027911336833,31.55691506817501,TYPE_2_OUTSIDE,2,False
144,121.40027911336833,31.592847515174654,TYPE_3_INSIDE,3,True
149,121.42135039999796,31.826408420672323,TYPE_0,0,False
152,121.40027911336833,31.84437464417214,TYPE_0,0,False
155,121.46349297325725,31.431151503676265,TYPE_1,1,False
157,121.46349297325725,31.467083950675907,TYPE_3_OUTSIDE,3,False
158,121.4424216866276,31.449117727176088,TYPE_3_OUTSIDE,3,False
159,121.46349297325725,31.503016397675548,TYPE_3_OUTSIDE,3,False
160,121.4424216866276,31.485050174175726,TYPE_3_OUTSIDE,3,False
161,121.46349297325725,31.53894884467519,TYPE_3_INSIDE,3,True
162,121.4424216866276,31.52098262117537,TYPE_3_OUTSIDE,3,False
163,121.46349297325725,31.57488129167483,TYPE_3_INSIDE,3,True
164,121.4424216866276,31.55691506817501,TYPE_3_OUTSIDE,3,False
166,121.4424216866276,31.592847515174654,TYPE_3_OUTSIDE,3,False
168,121.46349297325725,31.75454352667304,TYPE_1,1,False
169,121.46349297325725,31.79047597367268,TYPE_1,1,False
171,121.46349297325725,31.826408420672323,TYPE_0,0,False
172,121.4424216866276,31.808442197172504,TYPE_1,1,False
179,121.50563554651653,31.431151503676265,TYPE_1,1,False
181,121.50563554651653,31.467083950675907,TYPE_3_OUTSIDE,3,False
182,121.4845642598869,31.449117727176088,TYPE_3_OUTSIDE,3,False
183,121.50563554651653,31.503016397675548,TYPE_3_INSIDE,3,True
184,121.4845642598869,31.485050174175726,TYPE_3_OUTSIDE,3,False
185,121.50563554651653,31.53894884467519,TYPE_3_INSIDE,3,True
187,121.4845642598869,31.55691506817501,TYPE_3_INSIDE,3,True
192,121.50563554651653,31.75454352667304,TYPE_1,1,False
193,121.4845642598869,31.73657730317322,TYPE_1,1,False
194,121.50563554651653,31.79047597367268,TYPE_1,1,False
195,121.4845642598869,31.77250975017286,TYPE_1,1,False
197,121.4845642598869,31.808442197172504,TYPE_1,1,False
199,121.54777811977581,31.395219056676623,TYPE_1,1,False
201,121.54777811977581,31.431151503676265,TYPE_1,1,False
202,121.52670683314616,31.413185280176442,TYPE_1,1,False
203,121.54777811977581,31.467083950675907,TYPE_3_INSIDE,3,True
204,121.52670683314616,31.449117727176088,TYPE_3_OUTSIDE,3,False
205,121.54777811977581,31.503016397675548,TYPE_3_INSIDE,3,True
206,121.52670683314616,31.485050174175726,TYPE_3_INSIDE,3,True
207,121.54777811977581,31.53894884467519,TYPE_3_INSIDE,3,True
210,121.54777811977581,31.718611079673398,TYPE_1,1,False
211,121.54777811977581,31.75454352667304,TYPE_1,1,False
212,121.52670683314616,31.73657730317322,TYPE_1,1,False
214,121.52670683314616,31.77250975017286,TYPE_1,1,False
218,121.5899206930351,31.395219056676623,TYPE_2_OUTSIDE,2,False
220,121.5899206930351,31.431151503676265,TYPE_2_OUTSIDE,2,False
221,121.56884940640546,31.413185280176442,TYPE_2_OUTSIDE,2,False
232,121.5899206930351,31.718611079673398,TYPE_2_OUTSIDE,2,False
233,121.56884940640546,31.700644856173575,TYPE_2_OUTSIDE,2,False
235,121.56884940640546,31.73657730317322,TYPE_2_OUTSIDE,2,False
240,121.63206326629438,31.359286609676982,TYPE_2_OUTSIDE,2,False
242,121.63206326629438,31.395219056676623,TYPE_2_OUTSIDE,2,False
243,121.61099197966473,31.377252833176804,TYPE_2_OUTSIDE,2,False
245,121.61099197966473,31.413185280176442,TYPE_2_OUTSIDE,2,False
256,121.63206326629438,31.718611079673398,TYPE_2_OUTSIDE,2,False
